index,label,LogReg_score,LogReg_pred,BERT_score,BERT_pred,AvgICTF,AvgIDF,Clarity,MaxIDF,MaxSCQ,NQC,SClarity,SMV,WIG,nSigma,query,answer,conv_id,turn_id,retrieval_titles,query_length
52,1,0.5186827833637059,1.0,-0.0170489456504583,0.0,9.845230747321972,5.579707692397629,1.268246108835115,14.08817372162161,62.00483329600262,0.0417099919569256,8.235792834887873,0.15260822210787,0.5168560028076166,0.1381159938728449,Who sings in next to me imagine dragons?,"['Dan Reynolds', 'YEBBA']",-2868527606566910012,1,[],8
53,1,0.5227776662762035,1.0,-0.1864513903856277,0.0,7.947105084363943,3.519526749422557,1.156930617254641,5.255513071745655,67.57376723196208,0.0613970539913687,6.337667171929843,0.2289156184527451,0.6659120845794678,0.1512995764874261,When does the last episode of stuck in the middle air?,"['December 8, 2017', 'October 27, 2017', 'October 20, 2017']",5551188595738157887,1,[],11
77,1,0.5071948854533872,1.0,-0.15994393825531,0.0,8.55961359022214,4.178133912221858,1.4455309863583683,6.303570448564247,74.3917936836333,0.0589126362054838,6.9501756777880415,0.513668359040324,0.9953641891479492,0.2533940506011151,When did england win the world cup in soccer?,"['1966', '1966 FIFA World Cup Final', '30 July 1966']",4866079315838169410,1,[],9
78,1,0.5040339016301346,1.0,-0.1625778973102569,0.0,8.36165761750147,3.900843864859541,1.3928834752578798,6.500134894979077,74.08755193227837,0.0805441677745753,6.569898148273415,0.55405904604552,1.0422540855407716,0.2631679706113379,Where does walmart get its great value products?,"['a number of agricultural and food corporations, such as ConAgra, and Sara Lee', 'United States', 'ConAgra', 'Sara Lee', 'a number of agricultural and food corporations']",-5860652896426394557,1,[],8
79,0,0.4773438487417043,0.0,0.0719459280371666,1.0,6.390679152872603,3.5068551381396778,1.178600562950589,14.08817372162161,62.00483329600262,0.0473386095259549,5.196172840053897,0.2132262007421168,0.7228021430969244,0.163258307882829,Who is the actor that plays anakin skywalker?,"['Jake Lloyd', 'Hayden Christensen', 'Sebastian Shaw', 'Mat Lucas?', 'Mat Lanter', 'David Birney', 'Mat Lucas', 'Matt Lanter']",-6951352961519428012,1,[],8
81,1,0.5099534222092342,1.0,-0.0628530234098434,0.0,9.129477529136162,4.67420060891519,2.4941890140302845,9.409520758873716,80.17642255925495,0.0884686923607888,7.3377180599081075,0.7165540478748754,0.8599200248718253,0.2821650517525898,How many chests of tea were dumped in the boston harbor?,['342'],-3857234084948639677,1,[],11
105,0,0.4826148021072147,0.0,0.1257642954587936,1.0,11.026645516719508,6.699785982278975,1.4285300687786646,11.017218026830031,81.80563979793956,0.0658531028262589,9.234886047491454,0.3794701116277402,0.8340339851379389,0.2177929382543601,When did the federal student loan program start?,"['1958', 'November 8, 1965', '1992']",8020759438851523056,1,[],8
122,1,0.5460738902622244,1.0,-0.0259320177137851,0.0,8.087711931249496,3.639171852046679,1.5617847667772833,5.349268002316945,67.26728819334008,0.1073544985975889,6.295952462021442,1.199461779475414,1.5425925827026372,0.3872114699158933,Bambi love and hip hop atlanta real name?,['Adizia Benson'],-3760955442126384935,1,[],8
139,1,0.5353610526206846,1.0,-0.0341123193502426,0.0,7.625003996697928,3.2797458081767346,1.1683726649836277,4.858643655252286,63.905734262236045,0.0450065521134054,5.833244527469873,0.1757028896032362,0.5825899696350095,0.1397230950460534,What episode of dc legends of tomorrow is invasion?,"['Season 2, episode 7', 'episode 23', '23', '7']",-1628404103134441150,1,[],9
154,1,0.5015517657451503,1.0,-0.0391576364636421,0.0,8.750165768253934,5.172863803454643,1.731052083707726,15.25132453142729,52.9699609650371,0.0981017562141751,7.462615438306654,0.8057506283567354,1.089212322235107,0.2992120445356316,Where did they film places in the heart?,"['Waxahachie, Texas', 'Waxahachie', ""Jack Davis' farm""]",-4536457655385125693,1,[],8
162,0,0.4932998011364873,0.0,0.0076196896843612,1.0,8.723295863234483,4.249151805549166,1.933945014890161,8.867817896543285,82.35118043416219,0.0788705412518651,6.643854321554646,0.9136218787584494,1.4369402694702138,0.3186118988428902,Who had no heart in wizard of oz?,"['Tin Woodman', 'Tin Man', 'Jack Haley']",7642895723874836754,1,[],8
168,1,0.5081360861007318,1.0,-0.1129891872406005,0.0,10.694865659822842,6.237719455061782,1.4470059515981837,11.678978893569306,74.65649146217358,0.0647443886368722,9.308571298702953,0.2605953502897952,0.703804244995117,0.1804838463304248,What network is the haves and have nots on?,"['OWN', 'Oprah Winfrey Network', 'Oprah']",6535933525766793029,1,[],9
171,1,0.5400069511193196,1.0,-0.0782622024416923,0.0,9.07470021305379,4.638039156686064,1.6019591507230748,6.036454434164712,72.2663669059,0.0380163090791739,7.688405851933901,0.091030502282367,0.3462124347686764,0.1066715181540784,Percentage of babies born at 24 weeks that survive?,"['40-70%', '20 to 35 percent']",3800437745610948678,1,[],9
176,1,0.5022014718292735,1.0,-0.0465779788792133,0.0,10.060260076125306,5.7327496001969696,1.4147499408775213,12.612267201812031,71.81689744204925,0.0569591021581832,8.450822163691207,0.2641323676957889,0.7007641029357911,0.1817045568002454,When did iced coffee become popular in the us?,['1920'],-1098070799313384511,1,[],9
183,1,0.5534426075368795,1.0,-0.0090317167341709,0.0,7.708952580726906,3.2606445342594594,1.2031364273131204,4.309148099613062,58.58086037631368,0.0428086460541278,5.917193111498851,0.1361685478417322,0.5812178993225097,0.1230034090953635,What did romans use to clean their teeth?,['twigs'],-2397165685060729764,1,[],8
222,1,0.5047635060486362,1.0,-0.13496795296669,0.0,8.572181039637536,4.188892333067897,2.027741266946349,6.215504227152985,75.4719355302202,0.0885635257684813,6.780421570409482,1.0085747592414196,1.1815579986572258,0.3795814912019024,When was the last time the cubs won the world series before 2016?,"['1908 World Series', 'October 14, 1908', 'October 14 1908']",6750695717303546788,1,[],13
250,1,0.5350578493033844,1.0,-0.0200092904269695,0.0,9.35668181432927,4.956747871291981,1.2172630456168807,7.263528349362479,78.56485683338963,0.0366013839763349,7.97038745320938,0.0849941878995842,0.4246598434448239,0.1030741164766792,Where did they film the movie in the heat of the night?,"['Sparta, Illinois', 'Union City', 'Dyersburg and Union City, Tennessee', 'Dyersburg', 'Chest', 'Chester, Illinois', 'Freeburg', 'Freeburg, Illinoi']",1207438646958939540,1,[],12
271,1,0.5035370957813965,1.0,-0.1936162263154983,0.0,8.314859768089082,3.9242564549762697,1.5513191799296286,7.312950334930912,79.03410438260646,0.070560168610135,6.754149359047675,0.5463200839684199,1.083224258422851,0.2337349105222452,When will the nba 2018-19 schedule be released?,"['August 10, 2018']",-3921412588001125223,1,[],8
278,1,0.5190220590911186,1.0,-0.1128048747777938,0.0,7.894451195862485,3.448350853546998,1.2142057119929617,5.8534926565556455,70.98116073187967,0.0607581842428308,6.102691726634429,0.265636856858944,0.7542499732971188,0.1629836976077497,Who got relegated from the premier league this year?,"['Hull City, Middlesbrough and Sunderland', 'Newcastle United, Norwich City, and Aston Villa', 'Hull City, Burnley Queens, and Park Rangers']",-8362604112474089208,1,[],9
285,1,0.5011203436217927,1.0,-0.0035481301601976,0.0,9.462627685616186,4.988724007473314,1.8438101410220613,14.375855794073392,69.49007528442031,0.0819028207143751,7.383186143936348,1.3609880981395002,1.8040361022949216,0.3888713152101576,Who conducted the little albert study on conditioned fear?,"['John B. Watson', 'Watson', 'Rosalie Rayner', 'Rayner']",3152896460331899719,1,[],9
310,1,0.5325654247548177,1.0,-0.2254000604152679,0.0,7.959121849534672,3.5574318694859315,1.1803834411219054,5.441170114336271,69.41377666771322,0.0469140473131961,6.572827488414781,0.1171795099816849,0.4809472751617434,0.1141049760243634,Who played wicked witch of the west in oz?,"['Mila Kunis', 'Milena Markovna ""Mila"" Kunis', 'Margaret Hamilton', 'Margaret Brainard Hamilton', 'Debra Winger', 'Eliza Swenson']",3551793800275335777,1,[],9
317,1,0.5243358861906886,1.0,-0.0708034262061119,0.0,8.54178544498642,4.08381437170243,2.503821986350996,6.536494332439324,74.93131077175363,0.1657670148166092,6.595875295931105,3.990379023752508,2.657167797088623,0.6658644359654688,Who said democracy is the rule of fools?,['Plato'],5297928633660324502,1,[],8
391,1,0.5397226513756284,1.0,-0.05369408801198,0.0,7.928051839751951,3.5327645224994866,1.409106762153921,6.546258553178775,75.56689271025412,0.0480965559039512,6.318613927317851,0.2320034139579762,0.7281860733032233,0.1702951166203747,Who is known as the father of toxicology?,"['Mathieu Orfila', 'Paracelsus', 'Theophrastus von Hohenheim']",-6502702531638979425,1,[],8
398,0,0.432303894295558,0.0,0.0973332151770591,1.0,13.67511902617139,9.184355631248655,1.346763647451125,16.167615263301446,78.41229527762442,0.0616578290829934,11.729208877116076,0.4020163048910649,0.9708559989929204,0.2241696636732613,When did senate rules change to 60 votes?,['1975'],-991159523777245924,1,[],8
422,1,0.5159296654684347,1.0,-0.0183355510234832,0.0,3.9316078723112766,1.2515226297789208,1.9390458203317715,2.519300436395352,38.92176214840494,0.0644250238035893,2.9659451248508164,0.5533505292585755,1.0200901985168451,0.2629996504889729,Who plays harmonica on black sabbath the wizard?,"['John Michael ""Ozzy"" Osbourne', 'Ozzy', 'Ozzy Osbourne', 'Osbourne']",7497487927888236066,1,[],8
447,0,0.4794038975314792,0.0,0.014643776230514,1.0,10.046652519566308,5.594165978658249,1.9757839410187903,10.374601654917305,81.20853521035235,0.1177976054993101,8.100742370510993,2.321303722096109,2.4175984382629387,0.4817990994279783,Which nfl team has the most superbowl wins in a row?,"['Green Bay Packers', 'Miami Dolphins', 'Pittsburgh Steelers', 'San Francisco 49ers', 'Dallas Cowboys', 'Denver Broncos', 'New England Patriots']",-8281699232937616964,1,[],11
496,1,0.5215850545968332,1.0,-0.0462233200669288,0.0,8.96702102158101,4.599118922800841,1.2906348500117972,11.396930638835782,77.06663058578927,0.0569531568929958,7.357583109146908,0.2921008200766078,0.823870010375976,0.1801545077847863,When did pong become playable on the television?,"['latter half of 1974', 'the latter half of 1974', 'January 1975', '1974', '1975']",7056482217503888131,1,[],8
534,1,0.5134241454123358,1.0,-0.1148773059248924,0.0,9.09093360338569,4.787092463976137,1.6487471723001172,7.309886672529625,79.29901199314573,0.0957605546714531,7.704639242265799,1.0440912000722875,1.4558001899719235,0.3406026032510105,Who landed the first 900 on a skateboard?,"['Danny Way', 'Tony Hawk']",7328567139296693948,1,[],8
538,0,0.4938931058671111,0.0,0.0133545044809579,1.0,11.242521344946953,6.770513909949102,1.1360400172285323,16.86076244386139,73.06339776849552,0.0477570619967246,9.450761875718896,0.2023134437266616,0.6562340736389166,0.1590257226546469,Where is the danube river located in europe?,"['Central and Eastern Europe', 'Central and Eastern', 'Slovakia', 'Croatia', 'Moldova', 'Bulgaria', 'Serbia', 'Ukraine', 'Hungary', 'Austria', 'Germany', 'Romania', 'Pančevo', 'Drobeta-Turnu Severin', 'Bratislava', 'Ruse', 'Novi Sad', 'Ulm', 'Vienna', 'Zemun', 'Vidin', 'Regensburg', 'Ingolstadt', 'Linz', 'Győr', 'Dunaújváros', 'Smederevo', 'Izmail', 'Belgrade', 'Apatin', 'Galați', 'Vukovar', 'Budapest']",-5366101085446253209,1,[],8
549,1,0.516220752841984,1.0,-0.0393830314278602,0.0,8.689143771378124,4.2569325222606444,1.7181387311207028,7.626803206286574,79.49870922024395,0.0671959706843408,6.941275673911365,0.6885186110488499,1.2319808959960932,0.2933680732136785,Who won 1st medal in asian games 2018 for india?,"['Punia', 'Bajrang Punia', 'Deepak Kumar', 'Kumar', 'Ravi Kumar and Apurvi Chandela', 'Ravi Kumar', 'Apurvi Chandela']",-5298386254612370574,1,[],10
551,0,0.4832984791002381,0.0,0.0399534292519092,1.0,10.47300060935785,6.094959221311447,2.3302617000550256,10.07179070086922,81.80563979793956,0.1136009809359441,8.527090460302535,2.960317351849869,2.45775598526001,0.6083088598575839,Where was the hottest temperature recorded on earth?,"['Furnace Creek Ranch', 'Furnace Creek Ranch, California, located in the Death Valley desert in the United States', 'Mitribah, Kuwait', 'Death Valley and Mitribah, Kuwait', 'Death Valley', '‘Aziziya, Libya', 'Furnace Creek Ranch, C', 'Death Valleya', 'Greenland Ranch', 'Furnace Creek Ranch, California', 'Furnace Creek Ranch, Ca', 'Flaming Mountains of China', 'Flaming Mountains']",2972601894847718326,1,[],8
571,1,0.504987186838597,1.0,-0.0793144479393959,0.0,10.268093847897498,5.845228377708295,2.3799358537145787,15.4744680827415,73.97351660632768,0.1205630163900364,8.476334378669442,1.439682807615538,1.4924341773986816,0.4535074117547644,Who landed the first quad jump in figure skating?,"['Kurt Browning', 'Miki Ando', 'Mark Cockerell']",-1497265519640583477,1,[],9
585,1,0.5064745801308439,1.0,-0.0497693978250026,0.0,9.029754146750822,4.614603421518625,1.6561450743522277,11.817337326942145,78.41229527762442,0.0670829485449644,7.296886195350959,1.0684227825345347,1.6823339080810549,0.3116558099358583,Who is the best rushing quarterback of all time?,"['Michael Vick', 'Tracy Ham', 'Keenan Reynolds', 'Matt Cannon', 'Jason Vander Laan', 'Ayrton Scott']",-2496338233298060505,1,[],9
594,0,0.4620267299529848,0.0,0.0273011550307273,1.0,11.016969661989236,6.598357876251037,1.291432897149766,11.582647784630874,81.99316441138859,0.0683839185474664,9.07105951293392,0.4952354449705475,0.9595820999145508,0.2488060100184849,When does master chef junior start in 2018?,"['August 19, 2018', 'March 2, 2018', '27 March 2018', '13 September 2018', 'January 2018']",-2636605142286822139,1,[],8
609,1,0.5209968395513052,1.0,-0.1041102036833763,0.0,10.54374223960009,6.04813875676162,1.2572471654719122,16.167615263301446,60.72778510905541,0.0566940895034894,8.934304327165991,0.2152634428323293,0.6359323406219485,0.1640363689979791,Who played zorro son in the legend of zorro?,"['Alonso', 'Adrián Alonso', 'Rica Matsumoto', 'Matsumoto']",4757523269455004982,1,[],9
611,1,0.502582489211165,1.0,-0.0192982889711856,0.0,9.412031586105638,4.920995655302306,1.26392940940772,8.241012664120062,79.76032246399727,0.0545467418051828,7.620272116877582,0.307428421329956,0.8922479438781735,0.1848207604169678,Who played the original roman on days of our lives?,['Wayne Northrop'],-8192912026823433918,1,[],10
617,1,0.510671247039454,1.0,-0.0808560103178024,0.0,8.439353304472476,3.9917486888887175,1.4159306016778852,6.95902642436407,77.66292414292975,0.0467791458731062,6.64759383524442,0.2873818932254452,0.772512111663819,0.189532943450949,When does switched at birth come back on 2017?,"['January 31, 2017']",-3784400955717699733,1,[],9
618,1,0.5118402506108266,1.0,-0.1595055311918258,0.0,8.46922106723613,4.071701990457489,1.4505960634908142,6.589753978133243,75.82278228159323,0.0767684102464917,6.859783154802032,0.4950206227253224,0.9320300292968744,0.2487520408773871,When did presidents start swearing on the bible?,"['April 30, 1789']",186391616945458797,1,[],8
645,0,0.4584221758495522,0.0,0.049248781055212,1.0,10.052050681751956,6.099246222330932,3.24017379813341,15.25132453142729,81.80563979793956,0.1652072634817571,8.098962168564208,4.596629250522226,2.58235013961792,0.6464328166260679,How many seats are there in the parliament of ghana?,"['104', '140', '200', '230', '275']",8600407550125901057,1,[],10
646,1,0.5081472108053129,1.0,-0.088763453066349,0.0,8.085652461457629,3.749683122612311,1.627396335371648,6.398287872452254,75.31241716541673,0.0756609569499342,6.293892992229574,0.534755630514221,0.967342033386231,0.2585429438493296,What's the percentage of canadian hockey players in the nhl?,"['75', 'slightly less than 50']",-5882456705130215648,1,[],10
659,1,0.5551180947055478,1.0,-0.1050343364477157,0.0,7.537183276292315,3.0735237131360056,1.1602067727320688,5.034633369209304,64.97939449459571,0.0438151549533992,5.927745363858215,0.1127713088316321,0.5209320640563968,0.1187283184583779,When was the last time usa womens hockey won gold?,"['2019', '2018']",5398964400508507960,1,[],10
661,1,0.5058913298646516,1.0,-0.0192785821855068,0.0,8.616871691407777,4.254980862994539,1.7591695922822888,6.123692082324107,72.83243219023569,0.0742212500500952,6.670961542352463,1.1675419161672922,1.5353679656982415,0.408401398515741,Who was the french chef given credit for developing the classical kitchen brigade?,['Georges Auguste Escoffier'],-4881471379252673634,1,[],13
