dialogue_id,turn_id,query,response,response_type
-4469503464110108318,1,When did the simpsons first air on television?,"April 19, 1987 | December 17, 1989",clarification
4790842463458965203,1,Who played george washington in the john adams series?,David Morse,directAnswer
-6631915997977101143,1,What is the legal age of marriage in usa?,18 years of age | 18 | 19 | 21 | 0,clarification
-3098213414945179817,1,Who starred in barefoot in the park on broadway?,Elizabeth Ashley | Kurt Kasznar | Mildred Natwick | Robert Redford | Herbert Edelman | Joseph Keating,clarification
-927805218867163489,1,When did the manhattan project began and end?,"Began 1939, end 1946 | Began 1942, end 1946",clarification
-8765341210106443690,1,When did the frozen ride open at epcot?,"June 21, 2016",directAnswer
-8984315366060644345,1,Name the landforms that form the boundaries of the peninsular plateau?,"Aravali Range, Satpura Range, Vindhyan Range",directAnswer
-3359151041540098032,1,When was the last time uga won a national championship?,1980 | 2009 | 1990 | 2005 | 2016 | 2018 | 2019 | 2014,clarification
6601536662148726350,1,Who sing play that funky music white boy?,Rob Parissi | Vanilla Ice | Roxanne,clarification
-4757397641844293607,1,When was the first airplane used in war?,Blériot XI | Nieuport IV,directAnswer
-6857918454805495301,1,What color is a negative benedict's test?,clear blue | blue | deep-blue,directAnswer
-4132174036373265970,1,Consubstantial with the father in the creed means what?,common humanity which is shared by all human persons. | of the same being | nature of God in Christianity,clarification
1561260788294720798,1,What was elvis presley's first uk number 1?,All Shook Up,directAnswer
-3609553841261159056,1,Voice of the snake in the jungle book?,Scarlett Johansson | Sterling Holloway | Joseph J Terry,clarification
128788970421661020,1,Where are the majority of cases heard in the united states?,State courts | State court,directAnswer
4722519916015127979,1,When is magnus chase book 3 coming out?,"October 3, 2017",directAnswer
-1911980845281550523,1,Who has more super bowl wins afc or nfc?,tied,directAnswer
-8524801800420428358,1,Which is the most recent state to have joined the united states of america?,The Islands of Aloha | The Aloha State | Hawaii | Paradise of the Pacific,directAnswer
4776000106366522865,1,When was the song believer by imagine dragons made?,"February 1, 2017",directAnswer
4723481094198751540,1,When did the han solo movie come out?,"May 10, 2018 | May 25, 2018",clarification
-7461719336882424985,1,What name is given to fats that are liquid at room temperature?,oil | oils,directAnswer
6629199459601104475,1,What is the airport code for abu dhabi?,AUH | OMAA,clarification
-1688500492894023725,1,Who won the last open at st andrews?,Zach Johnson | Zachary Harris Johnson,directAnswer
-4920697783415402962,1,Who helped lewis and clark on their journey?,Sacajawea | Sakakawea | Sacagawea,directAnswer
-4950316745090894056,1,Who sings don't mess around with jim?,Jim Croce | James Joseph Croce | Hawkins sheriff Jim Hopper | the sheriff | Jim Hopper,clarification
-8652199953083038138,1,How many ligue 1 titles does psg have?,6 | 5,clarification
7030758716024791080,1,Who won season 2 of america's got talent?,Terry Fator,directAnswer
1237920926774398276,1,When's the next time easter falls on april fools day?,2018,clarification
4737873499269724327,1,What is the original name of puerto rico?,Borinquen,directAnswer
4123548744340087331,1,Sharon two guys a girl and a pizza place?,Traylor Howard,directAnswer
-3430387669519489370,1,How many seasons are there of star wars the clone wars?,7 | 3,clarification
6389345907245133102,1,When was the national world war ii memorial built?,"September, 2001 | April 29, 2004",clarification
7063169977317265636,1,With what are the german die brücke artists associated?,Fauves | the Fauves | expressionism,clarification
-1672733591597131629,1,Alter-ego adopted by rosalind in as you like it?,a shepherd named Ganymede,directAnswer
3459755935653104243,1,Who did phil daniels play in east enders?,Kevin Wicks,directAnswer
-7563488770313519534,1,Which state has the smallest population in nigeria?,Bayelsa State | Bayelsa,directAnswer
3630976503357786326,1,What is the scientific name for a red fox?,"V. vulpes | Vulpes vulpes | V. v. crucigera | V. v. alascensis, V. v. abietorum, V. v. regalis, and V. v. rubricosa | V. v. macroura, V. v. cascadensis, and V. v. necator | V. v. patwin",clarification
5998037098651415370,1,Who is the father of accounting when and what did he describe?,Luca di Borgo | Luca Pacioli | Fra Luca Bartolomeo de Pacioli | c. 1447 – 19 June 1517,clarification
7208068189874944399,1,When did the lightning thief book come out?,"July 1, 2005",directAnswer
-3713688239328074547,1,How many jury members in a criminal trial?,"usually 12 | 12 | 6 | 15 | can, but do not have to, have 15 jurors | 7",clarification
2034739379280412436,1,Who has conceded the most goals in the premiership?,Tottenham Hotspur | Tim Krul,clarification
8651809831547260844,1,Where did the 60's scoop take place?,Canada | Saskatchewan,clarification
1533477128984345682,1,Who did alyssa trask play in isabelle dances into the spotlight?,Emma | Renata's friend,directAnswer
-5492391637682725131,1,Which us president appears as a character in the play annie?,Franklin D Roosevelt,directAnswer
-2558199766533138150,1,Who invented the process to remove impurities by blasts of cold air blown through heated iron?,Henry Bessemer | William Kelly,clarification
-6363994615218497826,1,Who do you play as in assassin's creed 4?,an Abstergo agent | Abstergo agent,directAnswer
3855307908076704970,1,Who played lionel in all in the family?,Martin | D'Urville Martin | Mike Evans | Evens | Damon Evans | Evans | Adepo | Jovan Adepo,clarification
4063304367414770942,1,Where did the first civilization in africa start?,The Fertile Crescent | Fertile Crescent,directAnswer
-4110639543763413474,1,Where did the saying just do it come from?,"The Wieden+Kennedy advertising agency | Dan Wieden | Gary Gilmore's last words: ""Let's do it""",clarification
5150378125952226530,1,When did brazil organize its first world cup?,1946 FIFA Congress | 24 June to 16 July 1950,clarification
-229557364858904345,1,How far is it from spain to africa?,9 miles | 14 km,directAnswer
-6875166619428307308,1,What idea was used to justify u.s. foreign policy during the cold war era?,deterrence and containment | Truman Doctrine,clarification
5693531505008967478,1,When is the sims mobile supposed to come out?,"May 9, 2017 | March 6, 2018",clarification
7754002205765507756,1,Who is playing in the peach bowl this year?,Washington | Alabama | Florida State | Houston | TCU | Mississippi,clarification
-3944861237014469052,1,Who said i'm late i'm late for a very important date?,Disney's White Rabbit,directAnswer
-2590664031903851316,1,When did ireland rugby last win the grand slam?,29 March 1948 | 21 March 2009 | 10 March 2018,clarification
3204171409264914923,1,When was the last time eagles were in the superbowl?,"Super Bowl XXXIX | 2004 season | XXXIX | February 6, 2005 | January 25, 1981 | Super Bowl XV | XV | 1980 season",clarification
3240942651859718397,1,Whi was the first captain of indian cricket team?,CK Nayudu | Shantha Rangaswamy | Krishnamachari Srikkanth,clarification
2094392886389474592,1,What area of san diego is sdsu in?,"College Area | College Area, San Diego | Mid-City region",directAnswer
4113432615092381478,1,Who is the girl in overly attached girlfriend?,Morris | Laina Morris,directAnswer
