index,label,LogReg_score,LogReg_pred,RoBERTa_score,RoBERTa_pred,AvgICTF,AvgIDF,Clarity,MaxIDF,MaxSCQ,NQC,SClarity,SMV,WIG,nSigma,query,answer,conv_id,turn_id,retrieval_titles,query_length
20,1,0.5141857506198152,1.0,-0.151524469256401,0.0,7.754256805886652,3.3340366728422355,1.1608715964402088,5.330164068813991,67.42372292184339,0.0516138016160158,6.144818893452554,0.1689875031239425,0.5799443244934082,0.1453390446180681,When was the commission fir sc/st established?,"['August 1978', '2004']",-7824075627194227170,1,[],7
29,0,0.4854795741119973,0.0,0.030124107375741,1.0,14.04996364569934,9.671974430312243,2.339012218286553,15.762150155193282,81.94234838016769,0.247262012010685,12.258204176471285,11.478499503048916,5.215748023986816,1.065521780877264,According to mahabharata who constructed unparalleled palace of pandavas?,"['Maya', 'Mayasura']",88189524028531485,1,[],9
34,0,0.4383410047322095,0.0,0.1160791739821434,1.0,14.52028985123027,10.059077715680106,1.6274962801941677,16.167615263301446,68.88416631011181,0.0667408363908688,12.57437970217496,0.9164916359741055,1.4119179344177246,0.2763590110668406,What type of cell contributes to the blood-brain barrier in the central nervous system?,"['endothelial cells', 'endothelial cell', 'Astrocyte cell']",-3553537514837674455,1,[],14
38,0,0.4887203714858872,0.0,0.0720521882176399,1.0,11.751737884955872,7.281272185667811,1.6068688546076602,16.86076244386139,74.50535230257427,0.0599027688244735,9.805827735900555,0.3380382644666223,0.7441420555114749,0.1938035272201154,How many championships did the cleveland browns win?,"['4', '8', '11', '3', '12', '6']",-8242180713881075550,1,[],8
68,0,0.4779829705663851,0.0,0.0375797338783741,1.0,12.713278171255604,8.378888119005756,2.2582269587093005,14.558177350867346,76.15139076080402,0.1161545437369293,11.103840258821505,1.0843526789505342,1.2416941833496096,0.3471075207979565,When did new zealand win the americas cup?,"[""29th America's Cup"", '6–13 May 1995', '1995', '20 February – 2 March 2000', ""30th America's Cup"", '2000', ""35th staging of the America's Cup yacht race"", '17–26 June 2017', ""2017 America's Cup"", '2017']",7652576904728829439,1,[],8
139,0,0.4962559438046628,0.0,0.0136850578710436,1.0,10.252465356861936,5.80839539530396,3.051827026535042,16.86076244386139,77.64005240067084,0.1235532878537886,8.1730238151821,2.0978671600109005,1.7068159866333008,0.4828005293206732,What episode of dc legends of tomorrow is invasion?,"['Season 2, episode 7', 'episode 23', '23', '7']",-1628404103134441150,1,[],9
169,0,0.4969796256911043,0.0,0.0924120247364044,1.0,13.162297552359302,8.693609453559528,1.1285241815439429,15.4744680827415,78.34369556814002,0.0457777515472108,11.5528596399252,0.1492572512954142,0.543250122070312,0.1365912018100974,When did the metropolitan police force become a service?,['1989'],5880644149529874524,1,[],9
202,1,0.5398377188828152,1.0,-0.0704247504472732,0.0,8.99548053360978,4.550654209413556,2.345685222345409,9.191734155271709,81.50759754839322,0.1839028568340672,7.386042621175678,3.3115676899727675,2.331344318389893,0.6433863234842623,Who wrote the song superstar by the carpenters?,"['Bonnie Bramlett,Leon Russell and Delaney Bramlett', 'Bonnie Bramlett and Leon Russell', 'Delaney Bramlett']",-8662129582734887891,1,[],8
240,0,0.4855409625869433,0.0,0.1687495857477188,1.0,11.939545778468968,7.620617806840393,1.2886594619850944,14.08817372162161,82.38092279445229,0.0564170295614535,9.993635629413651,0.3541167142647518,0.920222072601318,0.2103915142849016,What channel will rick and morty season 3 be on?,"['Cartoon Network', '[adult swim]', 'Adult Swim']",-4262537272967881001,1,[],10
282,1,0.5141611066254081,1.0,-0.0024838745594024,0.0,8.873076947600198,4.496772418458205,1.2566859214128934,9.53035723201699,81.81111029348317,0.0582461281752981,7.081317478372142,0.2914687560874128,0.7608720207214361,0.1908758615198019,Who is the current sheriff of maricopa county arizona?,"['Thomas J. Agnos', 'Joe Arpaio', 'Paul Penzone']",5326119942658671302,1,[],9
