csv_row_index,conv_id,turn_id,query,answer,BERT_confidence,LogReg_score,num_retrieval,unique_titles,diversity,has_answer_in_topk,score_std,score_range,retrieval_titles,retrieval_texts_preview,WIG,NQC,SMV,Clarity,nSigma,AvgIDF,MaxIDF,AvgICTF,MaxSCQ,SClarity
8,7047651726317069852,1,Who is the prime minister of england 2018?,"Theresa May, Theresa Mary May",0.44859968121403193,0.5090083427108605,10,9,0.9,False,1.5459839954554422,5.12640380859375,"""Pope Clement XIV"" | ""Government of the United Kingdom"" | ""Deputy Prime Minister of the United Kingdom"" | ""Party leader"" | ""Deputy Prime Minister of the United Kingdom""","""autopsy, the doctors ascribed his death to scorbu | ""dependent on Parliament to make primary legislati | ""elected Deputy Leader of the Labour Party in oppo",2.087380828857415,0.0226474956254776,3.133265371228772,1.2367810043900318,0.5900344030674795,6.075074192917327,16.167615263301446,10.526380622790503,80.9982185159569,8.734621153562449
11,-2679834896038341541,1,When was the last time the us had a budget surplus?,"2001, fiscal year 2001, 2001 fiscal year",0.4634004227373576,0.518381713813101,10,3,0.3,False,1.083554564227858,4.206596374511719,"""Deficit reduction in the United States"" | ""Deficit reduction in the United States"" | ""Deficit reduction in the United States"" | ""United States federal budget"" | ""Deficit reduction in the United States""","""2017 estimate of $10.1 trillion, which represente | ""risk when the economy is closer to its capacity,  | ""Defense (DoD). The DoD baseline budget, excluding",3.111656036376953,0.0262943602275043,4.652839151880582,1.2313490208340063,0.7190146924693065,4.660227211664245,8.363771959762673,9.030283318574195,80.45286312260544,7.238523849346141
14,2162316589148294435,1,How many jimmy john's are there in the world?,"more than 2,800, almost 3,000, thousand, five-hundred, 5,000 and beyond",0.47946963768900747,0.5344694489458647,10,9,0.9,False,1.2914744179708768,4.583221435546875,"""Gilbert Collection"" | ""Jimmy Eat World"" | ""Jimmy John's"" | ""Jimmy John Liautaud"" | ""Columbia University Center for Psychoanalytic Training and Research""","""an exhibition space for contemporary art. Meanwhi | ""Jimmy Eat World also released the album's track-l | ""Jimmy John's Jimmy John's Franchise, LLC is an Am",2.534936676025387,0.0207547503258153,2.6370407414891,1.2850043729466891,0.5741342113880147,6.761755393119158,16.167615263301446,11.162415258293269,74.48379122157773,9.55297734585917
23,-1703843779501228505,1,Who is the administrator of the small business administration?,"Linda McMahon, Linda Marie McMahon, Joseph Loddo, Maria Contreras-Sweet, Loddo, Contreras-Sweet",0.4594448144570422,0.54704815710273,10,9,0.9,False,1.5414298735482024,5.347892761230469,"""Eric Boateng"" | ""Karen Mills"" | ""United States Othello Association"" | ""Finsbury Square"" | ""International Trade Administration""","""place in the squad ever since. Boateng began 2011 | ""innovative small businesses. She is a member of t | ""At the present time, the USOA continues in this s",2.8613659667968783,0.0262845077057288,3.855461683526519,1.2094695595921974,0.6942137354164168,3.900843864859541,6.500134894979077,8.36165761750147,74.08755193227837,6.569898148273415
26,1531202197803799336,1,Where was the movie lean on me filmed?,"New Jersey, Franklin Lakes, New Jersey, Franklin Lakes",0.47292776789269186,0.5170284287565547,10,10,1.0,False,2.742710826499133,9.552154541015625,"""Lean on Me (film)"" | ""Lean on Pete"" | ""Prosperous (album)"" | ""The Rover (2014 film)"" | ""On Chesil Beach (film)""","""Lean on Me (film) Lean on Me is a 1989 American b | ""before opening in the United Kingdom on 4 May 201 | ""Massacre"""", by Guthrie, """"A Letter to Syracuse"""" ",3.207590637207029,0.0263148544834613,4.763385930285416,1.22336159619203,0.6580540134148576,4.139294392767751,6.867022937348237,8.532603489321371,78.41229527762442,6.5866933402660575
29,88189524028531485,1,According to mahabharata who constructed unparalleled palace of pandavas?,"Maya, Mayasura",0.47456337597273945,0.5089211877448221,10,8,0.8,False,0.4923216335802402,1.25164794921875,"Vikramaditya | Madiun | ""Jayasimha Siddharaja"" | Pandava | Pandava","""is no other evidence that he inspired the Vikrama | ""Other PKI leaders such as D.N. Aidit went into ex | ""Avanti in which his beloved elephant Yasahapatala",1.6933721923828084,0.013734965651655,1.120148250130005,1.1029932869781682,0.3741905013041494,3.464696952926378,4.868415338667169,7.8354962325877375,65.33211819804028,5.889586083532424
32,-388980298258801319,1,Who presented gardeners world from 2008 to 2010?,"Toby Buckland, Toby Neale Buckland",0.48844622705478175,0.6233632608743707,10,9,0.9,False,1.4661664450654754,4.3246917724609375,"""Geoff Hamilton"" | ""Burnie Port Authority v General Jones Pty Ltd"" | ""RAF Prestwick"" | ""Gardeners' World"" | ""1750 Eckert""","""awarded an honorary Master of Science Degree by A | ""was modified by statute in the UK, but never beca | ""Prestwick until January 2014 to complete the tran",3.27146316528321,0.0322411775752427,5.177614258237154,1.471709140835934,0.758479052537024,4.599118922800841,11.396930638835782,8.96702102158101,77.06663058578927,7.357583109146908
42,5347242526315149222,1,Who has the most nascar wins in history?,"Richard Petty, Petty, Jeff Gordon, Gordon, Richard Petty, Dale Earnhardt, and Jimmie Johnson, Dale Earnhardt, Jimmie Johnson, Chevrolet, Joe Gibbs Racing",0.4166602255351296,0.5009422950990096,10,9,0.9,False,2.2768347056644154,6.1168060302734375,"NASCAR | ""NASCAR's Most Popular Driver Award"" | ""Indianapolis 500"" | ""Monster Energy NASCAR Cup Series"" | NASCAR","""vehicles entered, with some placing. For example, | ""NASCAR's Most Popular Driver Award NASCAR's Most  | ""in the fall of 1909. The event, billed as """"The G",1.9480226135253875,0.0206018162189087,2.231269712948816,1.2218042597076977,0.52811808728598,4.031281376406822,7.280929624235862,8.423261980067887,80.05129320899697,6.631502510839832
48,-2836078205180880937,1,Who did germany invade on may 10 1940?,"Belgium, the Netherlands and Luxembourg, the Netherlands, Luxembourg, Belgium",0.4341551342810075,0.5047969916389607,10,10,1.0,False,0.8793569043077465,2.4887542724609375,"""Invasion of Iceland"" | ""World War II by country"" | ""British anti-invasion preparations of the Second World War"" | ""Margaret H'Doubler"" | ""1940 Soviet ultimatum to Lithuania""","""the troops moved to Hvalfjörður, Kaldaðarnes, San | ""Allies. After Darlan was assassinated, de Gaulle  | ""preliminary assembly of forces. Today, little rem",3.0186685180664075,0.0240414353329263,4.078739089654409,1.1086275329413946,0.714032482599217,3.2150741144353856,4.065601203529972,7.541874115142245,57.99423344560479,5.75011464591419
54,-1577497604183734452,1,Who signed the treaty of versailles from germany?,"Johannes Bell, Bell, Müller, Hermann Müller",0.47723267849675594,0.561621462939149,10,5,0.5,False,1.0043020378481522,3.687164306640625,"""Terry Pratchett"" | ""Treaty of Versailles"" | ""Treaty of Versailles"" | ""Treaty of Versailles"" | ""Vanilla phaeantha""","""term assistant Rob Wilkins stated that Terry was  | ""open agreements, democracy, and self-determinatio | ""not in the billions but in the hundreds of millio",2.1331707763671863,0.0215417486376271,2.454046043768781,1.3516964329915913,0.5538553560913694,5.552042480112272,10.3342675842906,9.927144068683672,81.41190595223009,8.317706156249573
