dialogue_id,turn_id,query,response,response_type
food_level3_dial26,1,How does ultraviolet spoil beer?,"The ultraviolet and visible light causes riboflavin to react with and break down isohumulones, chemicals that contribute to the bitterness of the beer.",directAnswer
food_level3_dial26,2,What are the different colors of glass used for beer bottles?,"The glass commonly is brown or green to reduce spoilage from light, especially ultraviolet.",directAnswer
food_level3_dial26,3,How is the beer glass colored brown or green?,"FeO and chromium oxide (Cr2O3) additives are used in the production of green bottles. Iron oxide, on the other-hand, produces yellow or yellow-brown glass. Copper oxide (Cu2O) gives a dull brown-red colour to the glass.",directAnswer
food_level3_dial26,4,What is lightstruck beer?,"Lightstruck, or ""skunked"" or ""skunky"", beer has been exposed to ultraviolet and visible light. In some cases, such as Miller High Life, a hops extract that does not have isohumulones is used to bitter the beer so it cannot be ""lightstruck"", and there are also other solutions available to prevent beer bottled in clear and green glass from becoming skunked or light-struck, such as taller walls on 6-pack carriers.",directAnswer
food_level3_dial26,5,What are some other skunky beers?,"Most beer bottles use green packaging to avoid lightstruck, which tastes like sulphur in beer.",noAnswerButRelevantInfo
food_level3_dial26,6,How about using bottles as weapons? Does that only happen in the movies?,"Bottles are used for weapons in real life, for instance, beer bottles are sometimes used as makeshift clubs in bar fights, and other glass bottles can be used to make Molotov cocktails, which are incendiary weapons and were first used in the Spanish Civil War.",directAnswer
hobby_level1_dial16,1,How do cameras work?,"A small hole on the camera allows light to pass through, which then reaches a light-sensitive surface. The image is then recorded onto this surface from this light, which is focused using a lens.",directAnswer
hobby_level1_dial16,2,What causes motion blur when using a camera?,"When the image being recorded changes during the recording of a single exposure or long exposure due to rapid movement, it results in Motion Blur.",directAnswer
hobby_level1_dial16,3,Is there a way to minimize the motion blur when taking a photo?,"Image stabilization (IS) is a family of techniques that reduce blurring associated with the motion of a camera or other imaging device during exposure. However, image stabilization does not prevent motion blur caused by the movement of the subject or by extreme movements of the camera.",directAnswer
hobby_level1_dial16,4,Can you tell me more about what type of tripods i can use for a camera to limit motion blur?,"Would you like to know about least expensive, more expensive, table top, or negative string tripods?",clarification
hobby_level1_dial16,5,I am interested in the least expensive ones.,"The least expensive, made of aluminum tubing and costing less than US$50, is used primarily for consumer still and video cameras and has an attached head and rubber feet.",directAnswer
hobby_level1_dial16,6,What makes other tripods more expensive than ones made with aluminum tubing?,"More expensive tripods are studier, have separate heads and additional features, as well as come in different sizes. Which of these features do you want to know more about?",directAnswer
top25_dial5,1,What other movies has Jaume Collet-Serra directed?,"He is known for directing the horror films House of Wax (2005), Orphan (2009), and The Shallows (2016), as well as the Liam Neeson-led thriller films Unknown (2011), Non-Stop (2014), Run All Night (2015), and The Commuter (2018).",directAnswer
top25_dial5,2,Which country had the highest box office sales the first week of screening Jungle Cruise?,"The film was released both digitally as well as in theaters, and it made $23.3 million from the US digitally, and as of late 2021, it has grossed $117 million, but I don't have the information on which country had the highest box office sales on the first week.",noAnswerButRelevantInfo
