csv_row_index,conv_id,turn_id,query,answer,RoBERTa_confidence,LogReg_score,num_retrieval,unique_titles,diversity,has_answer_in_topk,score_std,score_range,retrieval_titles,retrieval_texts_preview,WIG,NQC,SMV,Clarity,nSigma,AvgIDF,MaxIDF,AvgICTF,MaxSCQ,SClarity
20,-7824075627194227170,1,When was the commission fir sc/st established?,"August 1978, 2004",0.4621911948104854,0.5141857506198152,10,10,1.0,False,0.7331841838333799,2.3800201416015625,"""Happily N'Ever After"" | ""National Consumer Disputes Redressal Commission"" | ""Serious Fraud Investigation Office"" | ""Sacred Heart of Jesus Church (Cleveland, Ohio)"" | ""Indian Statistical Service""","""""""Night at the Museum"""", which was at its third w | ""National Consumer Disputes Redressal Commission T | ""the co-ordinating agency with the Income Tax Depa",0.5799443244934082,0.0516138016160158,0.1689875031239425,1.1608715964402088,0.1453390446180681,3.3340366728422355,5.330164068813991,7.754256805886652,67.42372292184339,6.144818893452554
29,88189524028531485,1,According to mahabharata who constructed unparalleled palace of pandavas?,"Maya, Mayasura",0.5075304573856517,0.4854795741119973,10,8,0.8,False,0.4923216335802402,1.25164794921875,"Vikramaditya | Madiun | ""Jayasimha Siddharaja"" | Pandava | Pandava","""is no other evidence that he inspired the Vikrama | ""Other PKI leaders such as D.N. Aidit went into ex | ""Avanti in which his beloved elephant Yasahapatala",5.215748023986816,0.247262012010685,11.478499503048916,2.339012218286553,1.065521780877264,9.671974430312243,15.762150155193282,14.04996364569934,81.94234838016769,12.258204176471285
34,-3553537514837674455,1,What type of cell contributes to the blood-brain barrier in the central nervous system?,"endothelial cells, endothelial cell, Astrocyte cell",0.5289872520449594,0.4383410047322095,10,9,0.9,False,0.6055551434492108,1.9707870483398438,"""Blood cell"" | ""Innate immune system"" | Tzatziki | ""Joseph H. Ball"" | ""Nervous system""","""the lungs to tissues and carbon dioxide from tiss | ""of new healthy cells, phagocytosis is an importan | ""ovdukh, uses kefir instead of the yogurt. This ca",1.4119179344177246,0.0667408363908688,0.9164916359741055,1.6274962801941677,0.2763590110668406,10.059077715680106,16.167615263301446,14.52028985123027,68.88416631011181,12.57437970217496
38,-8242180713881075550,1,How many championships did the cleveland browns win?,"4, 8, 11, 3, 12, 6",0.518005258176753,0.4887203714858872,10,4,0.4,False,1.1401618413270933,4.061553955078125,"""Cleveland Browns"" | ""Cleveland Browns"" | ""Cleveland Browns"" | ""Cleveland Browns"" | ""Cleveland Browns""","""On April 14, 2015, the Cleveland Browns unveiled  | ""name, logos, training facility, and history, were | ""relaunch in 1999 as well as former team President",0.7441420555114749,0.0599027688244735,0.3380382644666223,1.6068688546076602,0.1938035272201154,7.281272185667811,16.86076244386139,11.751737884955872,74.50535230257427,9.805827735900555
68,7652576904728829439,1,When did new zealand win the americas cup?,"29th America's Cup, 6–13 May 1995, 1995, 20 February – 2 March 2000, 30th America's Cup, 2000, 35th staging of the America's Cup yacht race, 17–26 June 2017, 2017 America's Cup, 2017",0.5093938279701321,0.4779829705663851,10,6,0.6,False,0.4472045407224263,1.5975265502929688,"""Rugby World Cup"" | ""Rugby World Cup"" | ""2014 FIFA World Cup qualification (CONCACAF)"" | ""America's Cup"" | ""New Zealand national rugby union team""","""Australia claimed their second title, defeating F | ""in 1924. France won the first gold medal, then Au | ""one team from Pot 2 and two teams from Pot 3. In ",1.2416941833496096,0.1161545437369293,1.0843526789505342,2.2582269587093005,0.3471075207979565,8.378888119005756,14.558177350867346,12.713278171255604,76.15139076080402,11.103840258821505
139,-1628404103134441150,1,What episode of dc legends of tomorrow is invasion?,"Season 2, episode 7, episode 23, 23, 7",0.5034212110739962,0.4962559438046628,10,3,0.3,False,1.5923698959317423,4.5317535400390625,"""Invasion! (Arrowverse)"" | ""Doug Domokos"" | ""Invasion! (Arrowverse)"" | ""Invasion! (Arrowverse)"" | ""Invasion! (Arrowverse)""","""a building in Cincinnati that was used as the bas | ""tragic accident took place in Murrieta, Californi | ""than that makes it sound."""" After beginning in th",1.7068159866333008,0.1235532878537886,2.0978671600109005,3.051827026535042,0.4828005293206732,5.80839539530396,16.86076244386139,10.252465356861936,77.64005240067084,8.1730238151821
169,5880644149529874524,1,When did the metropolitan police force become a service?,1989,0.523086578607725,0.4969796256911043,10,4,0.4,False,1.2995539429997305,3.7987442016601562,"""Project on Middle East Democracy"" | ""History of the Metropolitan Police Service"" | ""History of the Metropolitan Police Service"" | ""History of the Metropolitan Police Service"" | ""History of the Metropolitan Police Service""","""human rights in the Middle East and North Africa. | ""In 1805 the Bow Street Horse Patrol, the first fo | ""Woman Chief Superintendent was appointed to take ",0.543250122070312,0.0457777515472108,0.1492572512954142,1.1285241815439429,0.1365912018100974,8.693609453559528,15.4744680827415,13.162297552359302,78.34369556814002,11.5528596399252
202,-8662129582734887891,1,Who wrote the song superstar by the carpenters?,"Bonnie Bramlett,Leon Russell and Delaney Bramlett, Bonnie Bramlett and Leon Russell, Delaney Bramlett",0.4824010854850657,0.5398377188828152,10,6,0.6,False,3.095755783195866,9.991859436035156,"""A Very Fine Love"" | ""Superstar: The Karen Carpenter Story"" | ""Piano Concerto No. 23 (Mozart)"" | ""Superstar: The Karen Carpenter Story"" | ""Superstar (Delaney and Bonnie song)""","""released by Cherry Red Records in October 2016. T | ""to its pertinence within digital media and its ae | ""for instance) and with a central section whose op",2.331344318389893,0.1839028568340672,3.3115676899727675,2.345685222345409,0.6433863234842623,4.550654209413556,9.191734155271709,8.99548053360978,81.50759754839322,7.386042621175678
240,-4262537272967881001,1,What channel will rick and morty season 3 be on?,"Cartoon Network, [adult swim], Adult Swim",0.5420875685237202,0.4855409625869433,10,6,0.6,False,1.8960863430654302,5.855445861816406,"""Rick and Morty (season 3)"" | ""Carol Voges"" | ""Dusk Till Dawn (casino)"" | ""Rick and Morty (season 3)"" | ""Rick and Morty (season 3)""","""than expected to complete because of his perfecti | ""also illustrated Ans Arnoldus' """"Tillie en Tiffie | ""Jake Cody won the UK Poker Championships high rol",0.920222072601318,0.0564170295614535,0.3541167142647518,1.2886594619850944,0.2103915142849016,7.620617806840393,14.08817372162161,11.939545778468968,82.38092279445229,9.993635629413651
282,5326119942658671302,1,Who is the current sheriff of maricopa county arizona?,"Thomas J. Agnos, Joe Arpaio, Paul Penzone",0.49937903167941156,0.5141611066254081,10,10,1.0,False,1.2546406515317028,3.8365859985351562,"""George Bridges Brudenell"" | ""Paul Penzone"" | ""Biological integrity"" | ""Maricopa County, Arizona"" | ""Arizona Department of Liquor Licenses and Control""","""without opposition. He was appointed Clerk of the | ""Sheriff's Office controversies), which Penzone co | ""to any natural ecosystem. Biological integrity Bi",0.7608720207214361,0.0582461281752981,0.2914687560874128,1.2566859214128934,0.1908758615198019,4.496772418458205,9.53035723201699,8.873076947600198,81.81111029348317,7.081317478372142
